dataset,classifier,hyperparameters,test_mcc,test_mcc_stdev,test_accuracy,test_accuracy_stdev,test_recall,test_recall_stdev,test_specificity,test_specificity_stdev,test_gm,test_gm_stdev,test_uar,test_uar_stdev,test_bm,test_bm_stdev
17122,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 175}",0.667244,0.055828,0.83864,0.027027,0.857621,0.035754,0.810493,0.049085,0.833084,0.028724,0.834057,0.028298,0.668115,0.056595
14624,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 125}",0.665759,0.057864,0.838,0.028028,0.857913,0.036251,0.808481,0.049718,0.832194,0.029738,0.833197,0.029305,0.666394,0.058609
12513,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.660197,0.058302,0.834822,0.028422,0.849948,0.0369,0.812399,0.048746,0.830347,0.029809,0.831173,0.02947,0.662347,0.058939
9063,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 5, 'classifier__n_estimators': 125}",0.670563,0.056778,0.840493,0.027513,0.862033,0.036129,0.808558,0.048642,0.834244,0.029103,0.835295,0.028657,0.670591,0.057314
20197,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 125}",0.661792,0.056784,0.835897,0.027519,0.854152,0.036301,0.808824,0.049032,0.830541,0.029088,0.831488,0.028695,0.662976,0.05739
230,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 150}",0.663325,0.056909,0.83643,0.027821,0.852434,0.037172,0.812702,0.047558,0.831718,0.028996,0.832568,0.028663,0.665136,0.057326
15206,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 5, 'classifier__n_estimators': 175}",0.670284,0.056488,0.840249,0.027379,0.86056,0.035994,0.810134,0.048776,0.83434,0.028997,0.835347,0.028568,0.670694,0.057136
15201,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 100}",0.664194,0.056413,0.83735,0.027403,0.858737,0.036632,0.805637,0.048708,0.831118,0.028959,0.832187,0.028486,0.664375,0.056972
20004,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 125}",0.662327,0.057157,0.836119,0.027732,0.853942,0.03631,0.80969,0.04968,0.830874,0.029422,0.831816,0.028997,0.663632,0.057993
1573,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 6, 'classifier__n_estimators': 125}",0.66877,0.058117,0.839432,0.028233,0.858914,0.036706,0.810547,0.049127,0.833754,0.029788,0.83473,0.029362,0.66946,0.058724
8101,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 5, 'classifier__n_estimators': 125}",0.6682,0.057492,0.839197,0.027898,0.85897,0.036176,0.809878,0.048768,0.833448,0.029479,0.834424,0.029055,0.668848,0.058111
9059,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 150}",0.668982,0.056114,0.839644,0.027192,0.860121,0.035673,0.809284,0.048093,0.833708,0.028745,0.834702,0.028336,0.669404,0.056672
15201,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 100}",0.662984,0.056761,0.836759,0.027521,0.857957,0.036191,0.805323,0.049207,0.83058,0.029236,0.83164,0.028734,0.66328,0.057468
7904,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 6, 'classifier__n_estimators': 125}",0.668762,0.056755,0.839449,0.027558,0.859209,0.036408,0.810152,0.048638,0.833691,0.029095,0.834681,0.028662,0.669361,0.057325
8289,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 5, 'classifier__n_estimators': 50}",0.660769,0.058388,0.835731,0.028247,0.857702,0.036718,0.80315,0.050126,0.829323,0.029976,0.830426,0.029511,0.660852,0.059023
7904,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 175}",0.669032,0.057579,0.839529,0.027921,0.858794,0.036497,0.810972,0.049613,0.833897,0.029591,0.834883,0.029147,0.669766,0.058293
4833,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 150}",0.665927,0.057899,0.838096,0.028013,0.858181,0.036255,0.808309,0.050289,0.832218,0.029856,0.833245,0.029367,0.66649,0.058734
18274,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 75}",0.658949,0.05667,0.83506,0.027307,0.859106,0.035115,0.799403,0.050361,0.82806,0.029497,0.829255,0.028856,0.658509,0.057712
20195,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 175}",0.665403,0.05768,0.837615,0.027949,0.85533,0.036423,0.811351,0.049597,0.83241,0.02961,0.83334,0.029184,0.66668,0.058368
7715,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 6, 'classifier__n_estimators': 125}",0.666009,0.057403,0.837866,0.027918,0.855333,0.037149,0.811973,0.048844,0.83273,0.029343,0.833653,0.028937,0.667307,0.057873
