dataset,classifier,hyperparameters,test_mcc,test_mcc_stdev,test_accuracy,test_accuracy_stdev,test_recall,test_recall_stdev,test_specificity,test_specificity_stdev,test_gm,test_gm_stdev,test_uar,test_uar_stdev,test_bm,test_bm_stdev
1403,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 5, 'classifier__n_estimators': 50}",0.596594,0.092048,0.807628,0.043918,0.824595,0.054423,0.778283,0.079318,0.799528,0.047942,0.801439,0.046917,0.602878,0.093834
9653,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 5, 'classifier__n_estimators': 150}",0.607971,0.095083,0.81418,0.044902,0.836925,0.05406,0.774843,0.083577,0.803605,0.05001,0.805884,0.048731,0.611769,0.097463
7150,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 6, 'classifier__n_estimators': 75}",0.60753,0.089668,0.812632,0.042978,0.827829,0.054019,0.786332,0.078009,0.805269,0.046753,0.807081,0.045814,0.614161,0.091629
812,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 6, 'classifier__n_estimators': 75}",0.610831,0.091384,0.814638,0.043377,0.831714,0.053069,0.785078,0.079418,0.806527,0.047599,0.808396,0.046648,0.616792,0.093296
10236,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.611054,0.092122,0.813517,0.043904,0.82464,0.054406,0.794314,0.081372,0.807699,0.048172,0.809477,0.047255,0.618953,0.094509
10236,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 6, 'classifier__n_estimators': 100}",0.610234,0.093304,0.814059,0.044238,0.829686,0.053793,0.786992,0.081147,0.806472,0.048681,0.808339,0.047699,0.616678,0.095398
3135,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 6, 'classifier__n_estimators': 175}",0.616022,0.093076,0.816183,0.044363,0.828275,0.054355,0.795234,0.081586,0.809971,0.048778,0.811755,0.047778,0.623509,0.095555
13675,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 175}",0.615266,0.09029,0.815951,0.043201,0.829087,0.054604,0.793238,0.079911,0.809338,0.047228,0.811163,0.046253,0.622325,0.092506
10223,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 6, 'classifier__n_estimators': 100}",0.604505,0.095084,0.812171,0.044745,0.832815,0.053679,0.776422,0.084379,0.802411,0.050159,0.804618,0.048809,0.609237,0.097619
9465,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 175}",0.609321,0.090299,0.812983,0.042975,0.825536,0.053556,0.791275,0.079805,0.806638,0.047081,0.808406,0.046222,0.616812,0.092445
9661,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 75}",0.610892,0.093237,0.814864,0.044081,0.833345,0.053742,0.782869,0.082656,0.806043,0.049059,0.808107,0.047811,0.616214,0.095622
10036,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 75}",0.608427,0.091983,0.813919,0.043451,0.833792,0.05321,0.779537,0.082056,0.80455,0.048418,0.806665,0.047196,0.613329,0.094391
13099,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 6, 'classifier__n_estimators': 175}",0.610314,0.09225,0.813967,0.043944,0.828877,0.054032,0.788128,0.08028,0.806664,0.048245,0.808503,0.047202,0.617005,0.094404
