dataset,classifier,hyperparameters,test_mcc,test_mcc_stdev,test_accuracy,test_accuracy_stdev,test_recall,test_recall_stdev,test_specificity,test_specificity_stdev,test_gm,test_gm_stdev,test_uar,test_uar_stdev,test_bm,test_bm_stdev
7210,svm_poly,"{'classifier__C': 10000, 'classifier__degree': 5, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.663292,0.083417,0.834028,0.041414,0.819597,0.054359,0.858962,0.069235,0.83781,0.042811,0.839279,0.042605,0.678559,0.08521
9323,svm_poly,"{'classifier__C': 12000, 'classifier__degree': 5, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.666817,0.082725,0.835869,0.041069,0.821637,0.053641,0.86046,0.068376,0.839631,0.042438,0.841048,0.042265,0.682097,0.084529
1466,svm_poly,"{'classifier__C': 1, 'classifier__degree': 6, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.672447,0.083129,0.839823,0.040795,0.830593,0.052203,0.855778,0.069254,0.841921,0.042598,0.843186,0.042441,0.686371,0.084882
1467,svm_poly,"{'classifier__C': 1, 'classifier__degree': 6, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.6725,0.083095,0.839852,0.040775,0.830638,0.052192,0.855778,0.069254,0.841944,0.042579,0.843208,0.042423,0.686417,0.084846
698,svm_poly,"{'classifier__C': 1, 'classifier__degree': 6, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.672464,0.083186,0.839823,0.040815,0.83057,0.052243,0.855818,0.069371,0.841925,0.042632,0.843194,0.042474,0.686389,0.084948
699,svm_poly,"{'classifier__C': 1, 'classifier__degree': 6, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.672517,0.083153,0.839852,0.040795,0.830616,0.052232,0.855818,0.069371,0.841947,0.042613,0.843217,0.042456,0.686434,0.084911
1466,svm_poly,"{'classifier__C': 50, 'classifier__degree': 6, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.675405,0.082133,0.840663,0.040536,0.828585,0.052488,0.861542,0.067935,0.843753,0.042005,0.845063,0.041886,0.690126,0.083772
1467,svm_poly,"{'classifier__C': 50, 'classifier__degree': 6, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.675484,0.082121,0.840707,0.040527,0.828653,0.052487,0.861542,0.067935,0.843788,0.041995,0.845097,0.041877,0.690195,0.083754
698,svm_poly,"{'classifier__C': 50, 'classifier__degree': 6, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.675425,0.082212,0.840678,0.040569,0.828607,0.052469,0.861542,0.067935,0.843767,0.042042,0.845074,0.041925,0.690149,0.08385
699,svm_poly,"{'classifier__C': 50, 'classifier__degree': 6, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.675539,0.082162,0.840736,0.040548,0.828676,0.052468,0.861582,0.067887,0.843823,0.04201,0.845129,0.041894,0.690258,0.083788
