dataset,classifier,hyperparameters,test_mcc,test_mcc_stdev,test_accuracy,test_accuracy_stdev,test_recall,test_recall_stdev,test_specificity,test_specificity_stdev,test_gm,test_gm_stdev,test_uar,test_uar_stdev,test_bm,test_bm_stdev
3422,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 400}",0.628335,0.085128,0.814872,0.043147,0.794316,0.05818,0.850437,0.068478,0.820573,0.043647,0.822376,0.0434,0.644752,0.0868
3423,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 400}",0.628335,0.085128,0.814872,0.043147,0.794316,0.05818,0.850437,0.068478,0.820573,0.043647,0.822376,0.0434,0.644752,0.0868
9368,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 400}",0.629088,0.08472,0.815234,0.042977,0.794571,0.057977,0.85098,0.06799,0.820985,0.043396,0.822775,0.04317,0.645551,0.08634
9369,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 400}",0.629088,0.08472,0.815234,0.042977,0.794571,0.057977,0.85098,0.06799,0.820985,0.043396,0.822775,0.04317,0.645551,0.08634
9370,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 400}",0.629088,0.084891,0.815234,0.04306,0.79457,0.058035,0.85098,0.067992,0.820986,0.043476,0.822775,0.043246,0.64555,0.086492
9371,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 400}",0.629088,0.084891,0.815234,0.04306,0.79457,0.058035,0.85098,0.067992,0.820986,0.043476,0.822775,0.043246,0.64555,0.086492
9372,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 400}",0.629104,0.08474,0.815219,0.042976,0.794478,0.058001,0.851097,0.068019,0.820991,0.043391,0.822787,0.043169,0.645575,0.086338
9373,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 400}",0.629104,0.08474,0.815219,0.042976,0.794478,0.058001,0.851097,0.068019,0.820991,0.043391,0.822787,0.043169,0.645575,0.086338
9374,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 400}",0.629078,0.084911,0.815205,0.043058,0.794454,0.058054,0.851097,0.06802,0.820981,0.04347,0.822775,0.043245,0.645551,0.08649
9375,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 400}",0.629078,0.084911,0.815205,0.043058,0.794454,0.058054,0.851097,0.06802,0.820981,0.04347,0.822775,0.043245,0.645551,0.08649
9560,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 400}",0.629222,0.08462,0.815292,0.042919,0.794594,0.057925,0.851098,0.067987,0.821054,0.043346,0.822846,0.04312,0.645693,0.086241
9561,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 400}",0.629222,0.08462,0.815292,0.042919,0.794594,0.057925,0.851098,0.067987,0.821054,0.043346,0.822846,0.04312,0.645693,0.086241
9562,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 400}",0.629186,0.084793,0.815278,0.043001,0.794593,0.057983,0.85106,0.068002,0.821036,0.043426,0.822827,0.043197,0.645653,0.086394
9563,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 400}",0.629186,0.084793,0.815278,0.043001,0.794593,0.057983,0.85106,0.068002,0.821036,0.043426,0.822827,0.043197,0.645653,0.086394
9564,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 400}",0.629272,0.084648,0.815292,0.042924,0.794501,0.057949,0.851255,0.067997,0.82108,0.043345,0.822878,0.043123,0.645756,0.086246
9565,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 400}",0.629272,0.084648,0.815292,0.042924,0.794501,0.057949,0.851255,0.067997,0.82108,0.043345,0.822878,0.043123,0.645756,0.086246
9566,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 400}",0.629212,0.084821,0.815263,0.043005,0.794477,0.058002,0.851217,0.068012,0.821051,0.043424,0.822847,0.0432,0.645694,0.086399
9567,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 400}",0.629212,0.084821,0.815263,0.043005,0.794477,0.058002,0.851217,0.068012,0.821051,0.043424,0.822847,0.0432,0.645694,0.086399
16280,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 350}",0.628602,0.085246,0.814553,0.043258,0.792232,0.058091,0.853178,0.068477,0.820828,0.043755,0.822705,0.043535,0.64541,0.087071
16281,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 350}",0.628602,0.085246,0.814553,0.043258,0.792232,0.058091,0.853178,0.068477,0.820828,0.043755,0.822705,0.043535,0.64541,0.087071
16282,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 350}",0.628559,0.08508,0.814509,0.043214,0.792116,0.05814,0.85326,0.06827,0.82081,0.043652,0.822688,0.043442,0.645376,0.086883
16283,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 350}",0.628559,0.08508,0.814509,0.043214,0.792116,0.05814,0.85326,0.06827,0.82081,0.043652,0.822688,0.043442,0.645376,0.086883
16284,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 350}",0.628317,0.085243,0.814421,0.043214,0.792116,0.057927,0.853018,0.068578,0.820693,0.043762,0.822567,0.043546,0.645134,0.087092
16285,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 350}",0.628317,0.085243,0.814421,0.043214,0.792116,0.057927,0.853018,0.068578,0.820693,0.043762,0.822567,0.043546,0.645134,0.087092
16286,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 350}",0.628262,0.085082,0.814377,0.043171,0.792023,0.057973,0.85306,0.068391,0.820667,0.043662,0.822542,0.043456,0.645083,0.086913
16287,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 350}",0.628262,0.085082,0.814377,0.043171,0.792023,0.057973,0.85306,0.068391,0.820667,0.043662,0.822542,0.043456,0.645083,0.086913
16472,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 350}",0.628563,0.085251,0.814524,0.043268,0.792185,0.058165,0.853178,0.068547,0.820799,0.043764,0.822682,0.043541,0.645363,0.087082
16473,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 350}",0.628563,0.085251,0.814524,0.043268,0.792185,0.058165,0.853178,0.068547,0.820799,0.043764,0.822682,0.043541,0.645363,0.087082
16474,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 350}",0.62852,0.085084,0.81448,0.043225,0.79207,0.058214,0.85326,0.06834,0.820781,0.043661,0.822665,0.043447,0.64533,0.086894
16475,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 350}",0.62852,0.085084,0.81448,0.043225,0.79207,0.058214,0.85326,0.06834,0.820781,0.043661,0.822665,0.043447,0.64533,0.086894
16476,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 350}",0.628314,0.085215,0.814406,0.043216,0.792069,0.058001,0.853058,0.068582,0.820685,0.04375,0.822564,0.043531,0.645128,0.087063
16477,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 350}",0.628314,0.085215,0.814406,0.043216,0.792069,0.058001,0.853058,0.068582,0.820685,0.04375,0.822564,0.043531,0.645128,0.087063
16478,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 350}",0.628259,0.085054,0.814363,0.043172,0.791977,0.058047,0.8531,0.068395,0.820659,0.043651,0.822538,0.043442,0.645077,0.086884
16479,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 350}",0.628259,0.085054,0.814363,0.043172,0.791977,0.058047,0.8531,0.068395,0.820659,0.043651,0.822538,0.043442,0.645077,0.086884
3992,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 350}",0.628469,0.085223,0.814495,0.043267,0.792209,0.058131,0.853062,0.068351,0.820763,0.043741,0.822635,0.043516,0.64527,0.087032
3993,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 350}",0.628469,0.085223,0.814495,0.043267,0.792209,0.058131,0.853062,0.068351,0.820763,0.043741,0.822635,0.043516,0.64527,0.087032
3994,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 350}",0.628473,0.085082,0.814481,0.043234,0.79214,0.05817,0.853143,0.068144,0.82077,0.043653,0.822642,0.043437,0.645283,0.086873
3995,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 350}",0.628473,0.085082,0.814481,0.043234,0.79214,0.05817,0.853143,0.068144,0.82077,0.043653,0.822642,0.043437,0.645283,0.086873
3996,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 350}",0.628172,0.085225,0.814363,0.043223,0.792116,0.057964,0.852862,0.068471,0.82062,0.043751,0.822489,0.04353,0.644977,0.087061
3997,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 350}",0.628172,0.085225,0.814363,0.043223,0.792116,0.057964,0.852862,0.068471,0.82062,0.043751,0.822489,0.04353,0.644977,0.087061
3998,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 350}",0.628176,0.085084,0.814349,0.04319,0.792047,0.058003,0.852943,0.068264,0.820627,0.043663,0.822495,0.043451,0.64499,0.086903
3999,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 350}",0.628176,0.085084,0.814349,0.04319,0.792047,0.058003,0.852943,0.068264,0.820627,0.043663,0.822495,0.043451,0.64499,0.086903
4184,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 350}",0.62843,0.085228,0.814466,0.043277,0.792162,0.058205,0.853062,0.068422,0.820733,0.04375,0.822612,0.043521,0.645224,0.087043
