name,mean_test_accuracy_mean,mean_test_accuracy_std,mean_test_recall_mean,mean_test_recall_std,mean_test_specificity_mean,mean_test_specificity_std,mean_test_mcc_mean,mean_test_mcc_std,mean_test_gm_mean,mean_test_gm_std,mean_test_uar_mean,mean_test_uar_std,mean_test_bm_mean,mean_test_bm_std
23553,0.674446,0.0,0.626004,0.0,0.757846,0.0,0.371449,0.0,0.687514,0.0,0.691925,0.0,0.38385,0.0
23554,0.66055,0.0030745002845991216,0.5721195,0.001607253713637001,0.813,0.011204814054681971,0.37632699999999997,0.010285575239139524,0.6803185,0.00349664303296754,0.6925595,0.004799133723913168,0.38511949999999995,0.009597560341045011
23555,0.674446,0.0,0.626004,0.0,0.757846,0.0,0.371163,0.0,0.687651,0.0,0.691925,0.0,0.38385,0.0
23556,0.6591005,0.0010245977259393311,0.5721195,0.001607253713637001,0.808923,0.0,0.37196450000000003,0.0015167440456451502,0.6787909999999999,0.0008994398256693244,0.6905209999999999,0.0008032733034278578,0.3810425,0.001607253713637001
23557,0.674446,0.0,0.626004,0.0,0.757846,0.0,0.371163,0.0,0.687651,0.0,0.691925,0.0,0.38385,0.0
23558,0.66055,0.0030745002845991216,0.5721195,0.001607253713637001,0.813,0.011204814054681971,0.37632699999999997,0.010285575239139524,0.6803185,0.00349664303296754,0.6925595,0.004799133723913168,0.38511949999999995,0.009597560341045011
23559,0.672997,0.0,0.623732,0.0,0.757846,0.0,0.368838,0.0,0.686469,0.0,0.690789,0.0,0.381578,0.0
2356,0.618457,0.005123695736477705,0.4275635,0.008109807673428518,0.948308,0.0,0.40032,0.006400730583300631,0.63439,0.006122130511513167,0.6879355,0.004055257390104804,0.375871,0.008110514780209686
23560,0.651865,0.0010097484835343792,0.558351,0.0016447303730398666,0.8135384999999999,0.005439772467668153,0.3637,0.00429920922961423,0.6727915,0.0011787470042379565,0.6859445,0.0018971674939235006,0.3718895,0.0037950420946282083
23561,0.665686,0.0,0.612262,0.0,0.758,0.0,0.359051,0.0,0.678835,0.0,0.685131,0.0,0.370262,0.0
23562,0.652579,0.0,0.557188,0.0,0.817385,0.0,0.36674,0.0,0.673625,0.0,0.687286,0.0,0.374573,0.0
23563,0.665686,0.0,0.612262,0.0,0.758,0.0,0.359086,0.0,0.67881,0.0,0.685131,0.0,0.370262,0.0
23564,0.6518649999999999,0.0010394469683442046,0.5572145,0.003251984086676868,0.8154615000000001,0.00272023978722468,0.3647635,4.454772721473817e-05,0.672767,0.0009956063479107126,0.686338,0.0002658721497260937,0.372676,0.0005317442994522659
23565,0.664216,0.0,0.609937,0.0,0.758,0.0,0.35675,0.0,0.677611,0.0,0.683968,0.0,0.367937,0.0
23566,0.652579,0.0,0.557188,0.0,0.817385,0.0,0.36674,0.0,0.673625,0.0,0.687286,0.0,0.374573,0.0
23567,0.667114,0.0,0.614482,0.0,0.758,0.0,0.361075,0.0,0.680122,0.0,0.686241,0.0,0.372482,0.0
23568,0.6693305,0.0010245977259392526,0.587104,0.0,0.811538,0.0028284271247461927,0.38769549999999997,0.002737210349973135,0.6890704999999999,0.001298955157039672,0.699321,0.0014142135623730963,0.398642,0.0028284271247461927
23569,0.675938,0.0,0.644397,0.0,0.73,0.0,0.362685,0.0,0.68392,0.0,0.687199,0.0,0.374397,0.0
2357,0.674403,0.0,0.554863,0.0,0.880769,0.0,0.431134,0.0,0.697606,0.0,0.717816,0.0,0.435632,0.0
23570,0.6693305,0.0010245977259392526,0.587104,0.0,0.811538,0.0028284271247461927,0.38769549999999997,0.002737210349973135,0.6890704999999999,0.001298955157039672,0.699321,0.0014142135623730963,0.398642,0.0028284271247461927
23571,0.673039,0.0,0.644397,0.0,0.722,0.0,0.355162,0.0,0.67991,0.0,0.683199,0.0,0.366397,0.0
23572,0.6700555,0.0020499025586597905,0.587104,0.0,0.813538,0.005656854249492385,0.389694,0.005563516154375746,0.6899115,0.002488308762995496,0.700321,0.0028284271247461927,0.400642,0.005656854249492385
23573,0.673018,0.0,0.642072,0.0,0.726,0.0,0.356612,0.0,0.680712,0.0,0.684036,0.0,0.368072,0.0
23574,0.6700555,0.0020499025586597905,0.587104,0.0,0.813538,0.005656854249492385,0.389694,0.005563516154375746,0.6899115,0.002488308762995496,0.700321,0.0028284271247461927,0.400642,0.005656854249492385
23575,0.673018,0.0,0.642072,0.0,0.726,0.0,0.356612,0.0,0.680712,0.0,0.684036,0.0,0.368072,0.0
23576,0.6489665,0.0010401540751254115,0.550449,0.006465784407169819,0.819231,0.00826749248563306,0.36191850000000003,0.0027188255736623054,0.6704125000000001,0.0005239661248592259,0.68484,0.0009008540392316597,0.36968,0.0018017080784633193
23577,0.661317,0.0,0.612051,0.0,0.746,0.0,0.346536,0.0,0.674425,0.0,0.679025,0.0,0.358051,0.0
23578,0.649691,1.555634918608035e-05,0.5515855000000001,0.00485853069353274,0.819231,0.00826749248563306,0.3628835,0.004083541661352334,0.6711285,0.0004886107857999024,0.6854085,0.0017048344494407243,0.3708165,0.0034089617921003205
23579,0.661317,0.0,0.609778,0.0,0.749846,0.0,0.348285,0.0,0.674767,0.0,0.679812,0.0,0.359624,0.0
2358,0.6170075,0.0051244028432589125,0.4252645,0.00807303812080682,0.948308,0.0,0.398319,0.006501139746229104,0.6327305000000001,0.006180820374351611,0.686786,0.004036165507012846,0.373572,0.008072331014025613
23580,0.6489659999999999,0.0031197551185950276,0.551586,0.008147284332831423,0.817308,0.005547959805189666,0.3608705,0.0018603979413018025,0.6702695000000001,0.002566090508925976,0.684447,0.0012996622638208788,0.368893,0.0025993245276417186
23581,0.661317,0.0,0.612051,0.0,0.746,0.0,0.346903,0.0,0.674199,0.0,0.679025,0.0,0.358051,0.0
23582,0.650416,0.0010097484835343792,0.5550475,0.0032519840866769463,0.815231,0.00826749248563306,0.3622345,0.005550081125533208,0.6711875,0.0013173399333505798,0.6851395,0.0025081077528686605,0.370278,0.0050162155057374
23583,0.659889,0.0,0.609831,0.0,0.746,0.0,0.34511,0.0,0.67261,0.0,0.677915,0.0,0.355831,0.0
23584,0.6438934999999999,0.004144352844534359,0.496459,0.008147284332831383,0.898923,0.0028284271247461927,0.40002899999999997,0.004010709662890066,0.6650695,0.004456894041818772,0.6976905,0.002659428604042615,0.395382,0.00531885720808523
23585,0.700639,0.0,0.630814,0.0,0.821077,0.0,0.437961,0.0,0.71874,0.0,0.725945,0.0,0.451891,0.0
23586,0.641709,0.007233702371538354,0.4930235,0.013005815026364163,0.898923,0.0028284271247461927,0.397146,0.008135970624332427,0.6627405,0.007638874557158278,0.695973,0.00508834039741846,0.3919465,0.01017738790161801
23587,0.696292,0.0,0.626216,0.0,0.817077,0.0,0.429967,0.0,0.714179,0.0,0.721646,0.0,0.443293,0.0
