name,mean_test_accuracy_mean,mean_test_accuracy_std,mean_test_recall_mean,mean_test_recall_std,mean_test_specificity_mean,mean_test_specificity_std,mean_test_mcc_mean,mean_test_mcc_std,mean_test_gm_mean,mean_test_gm_std,mean_test_uar_mean,mean_test_uar_std,mean_test_bm_mean,mean_test_bm_std
100,0.65874,0.00521844804515668,0.45841750000000003,0.015665950737187944,0.924939,0.008710141330655851,0.4164065,0.0027485240584720918,0.6500345000000001,0.007948587327317942,0.6916785000000001,0.003478258256656632,0.3833565,0.006955809406532057
1000,0.6223069999999999,0.004481642779160385,0.3872225,0.009166225204521218,0.9347565,0.001724633439314046,0.3689435,0.005639176579962724,0.6004285,0.006681451975431717,0.660989,0.003720795882603605,0.321978,0.00744159176520721
1001,0.69514,0.0,0.565623,0.0,0.867134,0.0,0.442858,0.0,0.698689,0.0,0.716379,0.0,0.432757,0.0
10016,0.639664,0.011211885122493884,0.40941099999999997,0.022213052424194205,0.945732,0.003449266878627935,0.4026425,0.014149913798324004,0.620185,0.016235171696043115,0.6775709999999999,0.009381892772783075,0.3551425,0.018764492652347396
10017,0.720459,0.0,0.634007,0.0,0.835183,0.0,0.471337,0.0,0.725965,0.0,0.734595,0.0,0.46919,0.0
10018,0.637553,0.009731203522689226,0.405724,0.01961797053723961,0.945732,0.003449266878627935,0.399346,0.012204663043279808,0.6172234999999999,0.01489379013213221,0.6757275,0.008084351829305817,0.351456,0.016168703658611592
10019,0.71729,0.0,0.626667,0.0,0.837622,0.0,0.46696,0.0,0.722904,0.0,0.732144,0.0,0.464289,0.0
1002,0.619681,0.0037292811639778522,0.3825925,0.007856663445763717,0.9347565,0.001724633439314046,0.3648795,0.004533261574186956,0.5967935,0.005732514675079323,0.658674,0.0030660150032248744,0.317349,0.00613203000644975
10020,0.639138,0.010468008788685677,0.40850200000000003,0.02092753229599707,0.945732,0.003449266878627935,0.4018445,0.013021371375550244,0.6195250000000001,0.015301790744876883,0.6771165,0.008739132708684547,0.354233,0.017478265417369056
10021,0.719406,0.0,0.632155,0.0,0.835183,0.0,0.469831,0.0,0.724805,0.0,0.733669,0.0,0.467338,0.0
10022,0.638617,0.008226480292324239,0.40757600000000005,0.01699884701972461,0.945732,0.003449266878627935,0.40108900000000003,0.009739688804063512,0.6188575,0.012582965171214617,0.6766535,0.0067747900705483555,0.3533075,0.01355028724787784
10023,0.71729,0.0,0.626667,0.0,0.837622,0.0,0.466901,0.0,0.722935,0.0,0.732144,0.0,0.464289,0.0
10024,0.624933,0.0007523616151825324,0.38444449999999997,0.005237539928248755,0.9445125,0.005173900317941981,0.3801655,0.002689127088852441,0.6018885,0.002520835674929992,0.6644785,3.1819805153367584e-05,0.3289565,6.43467170879813e-05
10025,0.711993,0.0,0.602626,0.0,0.857195,0.0,0.465639,0.0,0.717015,0.0,0.729911,0.0,0.459821,0.0
10026,0.6223015000000001,0.005978587834932252,0.37888900000000003,0.013094203374012472,0.945732,0.003449266878627935,0.37706850000000003,0.006521645842883554,0.5977205000000001,0.009408055723687024,0.66231,0.0048224682476922095,0.3246205,0.009645643602165665
10027,0.713046,0.0,0.600774,0.0,0.862134,0.0,0.469111,0.0,0.717991,0.0,0.731454,0.0,0.462909,0.0
10028,0.625465,0.0,0.3853705,0.003927978169491255,0.9445125,0.005173900317941981,0.380993,0.0038593888117161895,0.6027045,0.00136683740803357,0.6649415000000001,0.000622961074225363,0.32988249999999997,0.00124521504166948
10029,0.708835,0.0,0.597104,0.0,0.857195,0.0,0.460666,0.0,0.71361,0.0,0.72715,0.0,0.454299,0.0
